Name,Organization,Bio,Position,Status
"Presidente dos Bancários DF","Bancários DF","Presidente — Sindicato dos Bancários DF","Palestrante","A CONFIRMAR"
"Marcia Honda","Fenadados","Atua com políticas públicas e tecnologia.","Palestrante","CONFIRMADO"
"Alexandre Arns González","Campanha Internet Legal","","Palestrante","A CONFIRMAR"
"Beá","Rede pela Soberania","","Palestrante","CONFIRMADO"
"Renata Miele ou Bia Barbosa","CGI","","Palestrante","A CONFIRMAR"
"João Cassino","","Professor e pesquisador em soberania digital.","Palestrante","CONFIRMADO"
"Julia Santa Anna Mello","Aqualtune Lab","","Palestrante","CONFIRMADO"
"Sérgio Amadeu da Silveira","UFABC","Professor e pesquisador em soberania digital.","Palestrante","CONFIRMADO"
"Márcia Barbosa","Reitora UFRGS","","Palestrante","A CONFIRMAR"
"Zé Dirceu","Ex Ministro da Casa Civil do Brasil","","Palestrante","CONFIRMADO"
"Natalia Blanco","Marcha Mundial das Mulheres","","Responsável / Palestrante","CONFIRMADO"
"Raul Amorim","MST","","Palestrante","CONFIRMADO"
"Felipe Bonel","MTST","","Palestrante","CONFIRMADO"
"Bruna Camilo","Marcha Mundial de Mulheres","","Palestrante","CONFIRMADA"
"Bárbara Coelho","APUB UFBA","","Palestrante","CONFIRMADA"
"Fiorella Haim","Conselho de Direção de Ceibal – Uruguay","","Palestrante","CONFIRMADA"
"Jeff Xiong","East China Normal University, Institute of International Communication Shanghai, China","","Palestrante","CONFIRMADO"
"Isadora Rocha","Fórum Tecnológico dos BRICS","","Palestrante","CONFIRMADA"
"Helena Martins","DiraCom/CDR","","Palestrante","CONFIRMADA"
"André Boselli","Artigo 19","","Palestrante","CONFIRMADO"
"Paulo Rená","IRIS","","Palestrante","CONFIRMADO"
"Marco Sunye","C3SL","","Palestrante","CONFIRMADO"
"Manoel Fonseca Neto","CEO da OMTX","","Palestrante","CONFIRMADO"
"Olival Freire","CNPq","","Palestrante","A CONFIRMAR"
"Laisa Caroline Costa De Biase","LSI – USP","","Palestrante","CAIU"
"Valdir Paixao","","","Palestrante","CAIU"
"Sérgio Amadeu","UFABC","Professor e pesquisador em soberania digital.","Palestrante","CONFIRMADO"
"Beatriz Tibiriçá","Rede Nacional de Soberania Digital","Atua com políticas públicas e tecnologia.","Palestrante","CONFIRMADA"
"TC Silva","Rede Mocambos","","Palestrante","CONFIRMADO"
"Tica Moreno","Marcha Mundial de Mulheres","","Palestrante","CONFIRMADA"
"José Vital","Frente por IA com Direitos Sociais","","Palestrante","CONFIRMADO"
"Stédile","MST","","Palestrante","???"
